outer_fold,all_features_lr_bacc,lr_forward_lr_bacc,lr_forward_swap2_lr_bacc,mi_32_lr_bacc,task2_dt_forward_k32_lr_bacc,task2_dt_forward_single_swap_k32_lr_bacc,lr_forward_to_swap_gain,lr_accepted_swaps,lr_termination
0,0.9239753572345341,0.9238042269187987,0.9250449217078806,0.9189270129203388,0.9089586720287499,0.9123812783434585,0.001240694789081842,2,max_swap_rounds_reached_without_optimality_confirmation
1,0.9133005055824732,0.9053217821782178,0.9090346534653465,0.9146302928165158,0.9017010743627554,0.903030861596798,0.003712871287128716,2,max_swap_rounds_reached_without_optimality_confirmation
2,0.9275810411277123,0.909142204741038,0.9092312971859986,0.8989493690935009,0.905241935483871,0.905241935483871,8.909244496058122e-05,2,max_swap_rounds_reached_without_optimality_confirmation
3,0.9198695950583391,0.9246541893247453,0.9246541893247453,0.9234134945356633,0.9086142495116414,0.9098549443007233,0.0,0,no_strict_single_swap_improvement
4,0.908168787286838,0.9157911409112507,0.9157911409112507,0.9199586875032997,0.9118908716540837,0.9157911409112507,0.0,0,no_strict_single_swap_improvement
