method,pooled_oof_lr_bacc,mean_fold_lr_bacc,sd_fold_lr_bacc
all_features,0.9185819662793346,0.9185790572579794,0.007874929896594156
lr_forward,0.9157458039036986,0.91574270881481,0.008610564306144191
lr_forward_swap2,0.916755667578036,0.9167512405190443,0.007878115292282594
mi_32,0.9151797581073897,0.9151757713738637,0.009596898725009564
task2_dt_forward_k32,0.907276477177793,0.9072813606082203,0.00390948871118049
task2_dt_forward_single_swap_k32,0.9092617908407382,0.9092600321272204,0.005188909965440205
